,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,species
0,5.1,3.5,1.4,0.2,Iris_setosa
1,4.9,3.0,1.4,0.2,Iris_setosa
2,4.7,3.2,1.3,0.2,Iris_setosa
3,4.6,3.1,1.5,0.2,Iris_setosa
4,5.0,3.6,1.4,0.2,Iris_setosa
5,5.4,3.9,1.7,0.4,Iris_setosa
6,4.6,3.4,1.4,0.3,Iris_setosa
7,5.0,3.4,1.5,0.2,Iris_setosa
8,4.4,2.9,1.4,0.2,Iris_setosa
9,4.9,3.1,1.5,0.1,Iris_setosa
10,5.4,3.7,1.5,0.2,Iris_setosa
11,4.8,3.4,1.6,0.2,Iris_setosa
12,4.8,3.0,1.4,0.1,Iris_setosa
13,4.3,3.0,1.1,0.1,Iris_setosa
14,5.8,4.0,1.2,0.2,Iris_setosa
15,5.7,4.4,1.5,0.4,Iris_setosa
16,5.4,3.9,1.3,0.4,Iris_setosa
17,5.1,3.5,1.4,0.3,Iris_setosa
18,5.7,3.8,1.7,0.3,Iris_setosa
19,5.1,3.8,1.5,0.3,Iris_setosa
20,5.4,3.4,1.7,0.2,Iris_setosa
21,5.1,3.7,1.5,0.4,Iris_setosa
22,4.6,3.6,1.0,0.2,Iris_setosa
23,5.1,3.3,1.7,0.5,Iris_setosa
24,4.8,3.4,1.9,0.2,Iris_setosa
25,5.0,3.0,1.6,0.2,Iris_setosa
26,5.0,3.4,1.6,0.4,Iris_setosa
27,5.2,3.5,1.5,0.2,Iris_setosa
28,5.2,3.4,1.4,0.2,Iris_setosa
29,4.7,3.2,1.6,0.2,Iris_setosa
30,4.8,3.1,1.6,0.2,Iris_setosa
31,5.4,3.4,1.5,0.4,Iris_setosa
32,5.2,4.1,1.5,0.1,Iris_setosa
33,5.5,4.2,1.4,0.2,Iris_setosa
34,4.9,3.1,1.5,0.1,Iris_setosa
35,5.0,3.2,1.2,0.2,Iris_setosa
36,5.5,3.5,1.3,0.2,Iris_setosa
37,4.9,3.1,1.5,0.1,Iris_setosa
38,4.4,3.0,1.3,0.2,Iris_setosa
39,5.1,3.4,1.5,0.2,Iris_setosa
40,5.0,3.5,1.3,0.3,Iris_setosa
41,4.5,2.3,1.3,0.3,Iris_setosa
42,4.4,3.2,1.3,0.2,Iris_setosa
43,5.0,3.5,1.6,0.6,Iris_setosa
44,5.1,3.8,1.9,0.4,Iris_setosa
45,4.8,3.0,1.4,0.3,Iris_setosa
46,5.1,3.8,1.6,0.2,Iris_setosa
47,4.6,3.2,1.4,0.2,Iris_setosa
48,5.3,3.7,1.5,0.2,Iris_setosa
49,5.0,3.3,1.4,0.2,Iris_setosa
