,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,species
50,7.0,3.2,4.7,1.4,Iris_versicolor
51,6.4,3.2,4.5,1.5,Iris_versicolor
52,6.9,3.1,4.9,1.5,Iris_versicolor
53,5.5,2.3,4.0,1.3,Iris_versicolor
54,6.5,2.8,4.6,1.5,Iris_versicolor
55,5.7,2.8,4.5,1.3,Iris_versicolor
56,6.3,3.3,4.7,1.6,Iris_versicolor
57,4.9,2.4,3.3,1.0,Iris_versicolor
58,6.6,2.9,4.6,1.3,Iris_versicolor
59,5.2,2.7,3.9,1.4,Iris_versicolor
60,5.0,2.0,3.5,1.0,Iris_versicolor
61,5.9,3.0,4.2,1.5,Iris_versicolor
62,6.0,2.2,4.0,1.0,Iris_versicolor
63,6.1,2.9,4.7,1.4,Iris_versicolor
64,5.6,2.9,3.6,1.3,Iris_versicolor
65,6.7,3.1,4.4,1.4,Iris_versicolor
66,5.6,3.0,4.5,1.5,Iris_versicolor
67,5.8,2.7,4.1,1.0,Iris_versicolor
68,6.2,2.2,4.5,1.5,Iris_versicolor
69,5.6,2.5,3.9,1.1,Iris_versicolor
70,5.9,3.2,4.8,1.8,Iris_versicolor
71,6.1,2.8,4.0,1.3,Iris_versicolor
72,6.3,2.5,4.9,1.5,Iris_versicolor
73,6.1,2.8,4.7,1.2,Iris_versicolor
74,6.4,2.9,4.3,1.3,Iris_versicolor
75,6.6,3.0,4.4,1.4,Iris_versicolor
76,6.8,2.8,4.8,1.4,Iris_versicolor
77,6.7,3.0,5.0,1.7,Iris_versicolor
78,6.0,2.9,4.5,1.5,Iris_versicolor
79,5.7,2.6,3.5,1.0,Iris_versicolor
80,5.5,2.4,3.8,1.1,Iris_versicolor
81,5.5,2.4,3.7,1.0,Iris_versicolor
82,5.8,2.7,3.9,1.2,Iris_versicolor
83,6.0,2.7,5.1,1.6,Iris_versicolor
84,5.4,3.0,4.5,1.5,Iris_versicolor
85,6.0,3.4,4.5,1.6,Iris_versicolor
86,6.7,3.1,4.7,1.5,Iris_versicolor
87,6.3,2.3,4.4,1.3,Iris_versicolor
88,5.6,3.0,4.1,1.3,Iris_versicolor
89,5.5,2.5,4.0,1.3,Iris_versicolor
90,5.5,2.6,4.4,1.2,Iris_versicolor
91,6.1,3.0,4.6,1.4,Iris_versicolor
92,5.8,2.6,4.0,1.2,Iris_versicolor
93,5.0,2.3,3.3,1.0,Iris_versicolor
94,5.6,2.7,4.2,1.3,Iris_versicolor
95,5.7,3.0,4.2,1.2,Iris_versicolor
96,5.7,2.9,4.2,1.3,Iris_versicolor
97,6.2,2.9,4.3,1.3,Iris_versicolor
98,5.1,2.5,3.0,1.1,Iris_versicolor
99,5.7,2.8,4.1,1.3,Iris_versicolor
